D2eV0	D2eV1	HDeV0	HDeV1	H2eV0	H2eV1
0	2993.6171	0	3632.1604	0	4161.1662
59.7806	3051.2876	89.22790000000001	3717.5323	118.4869	4273.7406
179.0671	3166.3605	267.0692	3887.6794	354.3732	4497.8385
357.3144	3338.3037	532.3093	4141.4224	705.5189	4831.3915
593.7156	3566.3297	883.1623	4477.0282	1168.7975	5271.3794
887.2146	3849.408	1317.3118	4892.2491	1740.1896	5813.9217
1236.5222	4186.281	1831.9614	5384.3736	2414.897	6454.3887
1640.1345	4575.4822	2423.8938	5950.283	3187.4705	7187.5256
2096.3546	5015.3571	3089.5336	6586.5133	4051.943	8007.5822
2603.3146	5504.0856	3825.0127	7289.3191	5001.9629	8908.4408
3158.9999	6039.7051	4626.2361	8054.7365	6030.9203	9883.737499999999
3761.2729	6620.1338	5488.9439	8878.643899999999	7132.0635	10926.9729
4407.8965		6408.7707		8298.6014	
5096.5574		7381.2989		9523.7916	
5824.8876		8312.8781		10801.0121	
6590.4851		9199.736699999999		12123.8191	
